Rank,Title,Year,Director,Canon Score,TMDB Rating
152,Blow-Up,1966,Michelangelo Antonioni,81,7.324
153,Drive My Car,2021,Ryūsuke Hamaguchi,81,7.439
154,The Discreet Charm of the Bourgeoisie,1972,Luis Buñuel,81,7.467
155,The Apartment,1960,Billy Wilder,81,8.195
156,The Grandmaster,2013,Wong Kar-Wai,81,6.6
157,La Jetée,1962,Chris Marker,81,7.871
158,Still Life,2006,Jia Zhangke,81,7.221
159,White Material,2010,Claire Denis,80,6.8
160,Code Unknown,2000,Michael Haneke,80,6.725
161,Children of Men,2006,Alfonso Cuarón,80,7.611
162,Secrets & Lies,1996,Mike Leigh,80,7.567
163,We Need to Talk About Kevin,2011,Lynne Ramsay,80,7.543
164,Roma,2018,Alfonso Cuarón,80,7.624
165,The Cranes Are Flying,1957,Mikhail Kalatozov,80,7.9
166,The Diving Bell and the Butterfly,2007,Julian Schnabel,80,7.575
167,Satantango,1994,Béla Tarr,79,8.099
168,Breaking the Waves,1996,Lars von Trier,79,7.491
169,Mother,2009,Bong Joon Ho,79,7.7
170,Full Metal Jacket,1987,Stanley Kubrick,79,8.123
171,La Chinoise,1967,Jean-Luc Godard,78,6.9
172,Rope,1948,Alfred Hitchcock,78,7.9
173,Argentina 1985,2022,Santiago Mitre,78,7.828
174,"Good Night, and Good Luck.",2005,George Clooney,78,7.076
175,The Assassin,2015,Hou Hsiao-hsien,78,6.381
176,Distant,2002,Nuri Bilge Ceylan,78,7.095
177,It Was Just an Accident,2025,Jafar Panahi,77,7.158
178,The Zone of Interest,2023,Jonathan Glazer,77,7.005
179,Japón,2003,Carlos Reygadas,77,6.6
180,Flowers of Shanghai,1998,Hou Hsiao-hsien,77,6.835
181,L'Atalante,1934,Jean Vigo,77,7.502
182,Les Misérables,2019,Ladj Ly,77,7.567
183,Searching for Sugar Man,2012,Malik Bendjelloul,77,7.89
184,Rififi,1955,Jules Dassin,77,7.777
185,Eyes Without a Face,1960,Georges Franju,77,7.6
